word|example|translation|example_translation|familiarity
schützen|Die Sonnencreme schützt die Haut gut.|to protect|The sunscreen protects the skin well.|0
retten|Der Rettungsdienst rettet den Mann schnell.|to rescue|The rescue service saves the man quickly.|0
heilen|Die Ärztin heilt die Wunde sorgfältig.|to heal|The doctor heals the wound carefully.|0
untersuchen|Der Arzt untersucht den Patienten gründlich.|to examine|The doctor examines the patient thoroughly.|0
behandeln|Sie behandelt den Husten mit Tee und Ruhe.|to treat|She treats the cough with tea and rest.|0
verbinden|Er verbindet den Finger mit einem Pflaster.|to bandage/connect|He bandages the finger with a plaster.|0
trainieren|Wir trainieren zweimal pro Woche leicht.|to train|We train lightly twice a week.|0
dehnen|Vor dem Lauf dehnen wir die Beine.|to stretch|Before the run we stretch our legs.|0
klettern|Die Kinder klettern vorsichtig auf den kleinen Felsen.|to climb|The children carefully climb the small rock.|0
werfen|Sie werfen den Müll in die richtige Tonne.|to throw|They throw the trash into the correct bin.|0
sortieren|Wir sortieren Papier und Plastik getrennt.|to sort|We sort paper and plastic separately.|0
recyceln|Die Stadt recycelt Glas und Metall.|to recycle|The city recycles glass and metal.|0
schützen|Bäume schützen den Park vor starkem Wind.|to protect|Trees protect the park from strong wind.|0
pflanzen|Wir pflanzen im Frühling neue Blumen.|to plant|We plant new flowers in spring.|0
gießen|Er gießt die Pflanzen jeden zweiten Tag.|to water/pour|He waters the plants every second day.|0
ernten|Im Herbst ernten wir Äpfel im Garten.|to harvest|In autumn we harvest apples in the garden.|0
wachsen|Die Tomaten wachsen schnell in der Sonne.|to grow|The tomatoes grow quickly in the sun.|0
sammeln|Wir sammeln Ideen auf gelben Zetteln.|to collect|We collect ideas on yellow notes.|0
ordnen|Bitte ordne die Blätter nach Datum.|to arrange|Please arrange the sheets by date.|0
archivieren|Wir archivieren alte Dokumente digital.|to archive|We archive old documents digitally.|0
drucken|Ich drucke zwei Kopien für das Treffen.|to print|I print two copies for the meeting.|0
kopieren|Sie kopiert den Text in die E-Mail.|to copy|She copies the text into the email.|0
einfügen|Füge das Bild unter den Titel ein.|to paste/insert|Insert the image under the title.|0
ausschneiden|Schneide den Absatz aus und setze ihn unten ein.|to cut out|Cut out the paragraph and insert it below.|0
speichern|Speichere die Datei mit einem klaren Namen.|to save|Save the file with a clear name.|0
umbenennen|Ich benenne den Ordner nach dem Projekt um.|to rename|I rename the folder after the project.|0
verschieben|Wir verschieben die Datei in einen neuen Ordner.|to move|We move the file into a new folder.|0
komprimieren|Bitte komprimiere die Bilder für den Versand.|to compress|Please compress the images for sending.|0
entpacken|Er entpackt die Datei und öffnet sie.|to unzip|He unzips the file and opens it.|0
sichern|Wir sichern die Daten einmal pro Tag.|to back up|We back up the data once per day.|0
wiederherstellen|Sie stellt die gelöschten Fotos wieder her.|to restore|She restores the deleted photos.|0
verbinden|Das Handy verbindet sich automatisch mit dem WLAN.|to connect|The phone connects automatically to the Wi-Fi.|0
trennen|Bitte trenne die Verbindung und versuche es neu.|to disconnect|Please disconnect and try again.|0
einloggen|Ich logge mich mit Benutzername und Passwort ein.|to log in|I log in with username and password.|0
ausloggen|Vergiss nicht, dich am Ende auszuloggen.|to log out|Don’t forget to log out at the end.|0
registrieren|Neue Nutzer registrieren sich über das Formular.|to register|New users register via the form.|0
bestätigen|Bestätige deine E-Mail mit dem Link.|to confirm|Confirm your email with the link.|0
zurücksetzen|Ich setze das Passwort bei Bedarf zurück.|to reset|I reset the password if needed.|0
akzeptieren|Wir akzeptieren die Bedingungen und fahren fort.|to accept|We accept the terms and continue.|0
ablehnen|Sie lehnt die Anfrage aus Sicherheitsgründen ab.|to decline|She declines the request for security reasons.|0
zustimmen|Ich stimme der Änderung nach kurzer Prüfung zu.|to agree|I agree to the change after a short check.|0
unterschreiben|Bitte unterschreiben Sie hier mit Datum.|to sign|Please sign here with the date.|0
stempeln|Der Beamte stempelt das Formular schnell.|to stamp|The official stamps the form quickly.|0
beantragen|Wir beantragen eine neue Karte online.|to apply for|We apply for a new card online.|0
bewilligen|Die Stadt bewilligt das kleine Projekt.|to approve|The city approves the small project.|0
ablesen|Ich lese den Zählerstand einmal im Monat ab.|to read off|I read off the meter once a month.|0
melden|Bitte melde den Defekt im System.|to report|Please report the defect in the system.|0
beheben|Der Techniker behebt das Problem am Nachmittag.|to fix/remedy|The technician fixes the problem in the afternoon.|0
überweisen|Ich überweise die Miete am ersten Tag.|to transfer (money)|I transfer the rent on the first day.|0
abheben|Er hebt Bargeld am Automaten ab.|to withdraw|He withdraws cash at the ATM.|0
einzahlen|Sie zahlt heute Geld auf ihr Konto ein.|to deposit|She deposits money into her account today.|0
sparen|Wir sparen jeden Monat einen kleinen Betrag.|to save|We save a small amount every month.|0
leihen|Ich leihe mir ein Buch aus der Bibliothek.|to borrow|I borrow a book from the library.|0
verleihen|Die Bibliothek verleiht auch Spiele.|to lend|The library also lends games.|0
schulden|Ich schulde dir noch drei Euro.|to owe|I still owe you three euros.|0
rechnen|Wir rechnen mit etwa zwanzig Teilnehmern.|to reckon|We expect about twenty participants.|0
planen|Sie planen ein Treffen für nächste Woche.|to plan|They plan a meeting for next week.|0
anpassen|Wir passen den Termin an deinen Kalender an.|to adjust|We adjust the appointment to your calendar.|0
verschieben|Wir verschieben das Treffen auf morgen.|to postpone|We postpone the meeting to tomorrow.|0
absagen|Er sagt den Termin aus Krankheitsgründen ab.|to cancel|He cancels the appointment for health reasons.|0
bestätigen|Bitte bestätige den neuen Zeitpunkt kurz.|to confirm|Please briefly confirm the new time.|0
eilen|Wir eilen nicht, wir haben genug Zeit.|to hurry|We are not hurrying; we have enough time.|0
entspannen|Am Abend entspannen wir mit leiser Musik.|to relax|In the evening we relax with soft music.|0
ausruhen|Ruh dich kurz aus, danach geht es weiter.|to rest|Rest for a moment; then we continue.|0
spazieren|Wir spazieren jeden Tag zwanzig Minuten.|to walk (stroll)|We take a twenty-minute walk every day.|0
wandern|Am Sonntag wandern wir im nahen Wald.|to hike|On Sunday we hike in the nearby forest.|0
rennen|Die Kinder rennen lachend über die Wiese.|to run|The children run laughing across the meadow.|0
joggen|Ich jogge langsam, damit ich nicht müde werde.|to jog|I jog slowly so I don’t get tired.|0
liegen|Das Buch liegt auf dem Tisch neben der Lampe.|to lie (be located)|The book lies on the table next to the lamp.|0
stehen|Die Stühle stehen ordentlich an der Wand.|to stand|The chairs stand neatly by the wall.|0
hängen|Das Bild hängt über dem Sofa.|to hang|The picture hangs above the sofa.|0
stecken|Der Schlüssel steckt noch in der Tür.|to be inserted|The key is still in the door.|0
bleiben|Bleib bitte kurz hier, ich komme gleich.|to stay|Please stay here briefly; I’ll be right back.|0
mitkommen|Kommst du mit ins Kino?|to come along|Are you coming along to the cinema?|0
zurückkommen|Wir kommen gegen neun zurück.|to come back|We come back around nine.|0
mitbringen|Bringst du etwas Obst mit?|to bring along|Will you bring some fruit along?|0
vorbeibringen|Ich bringe dir das Buch heute Abend vorbei.|to drop off|I’ll drop the book by this evening.|0
abholen|Sie holt die Kinder von der Schule ab.|to pick up|She picks up the children from school.|0
weggehen|Geht nicht zu spät weg, es wird kalt.|to go away/leave|Don’t leave too late; it gets cold.|0
zurückgeben|Bitte gib den Stift nach dem Kurs zurück.|to give back|Please give the pen back after the course.|0
einwerfen|Wir werfen den Brief in den gelben Kasten ein.|to post (mail)|We drop the letter into the yellow box.|0
versenden|Ich versende das Paket mit Tracking.|to send|I send the package with tracking.|0
erhalten|Er erhält morgen eine wichtige Nachricht.|to receive|He will receive an important message tomorrow.|0
bestätigen|Sie bestätigt den Eingang der Dokumente.|to confirm|She confirms receipt of the documents.|0
weiterleiten|Leite die E-Mail bitte an das Team weiter.|to forward|Please forward the email to the team.|0
anhängen|Ich hänge die Datei als PDF an.|to attach|I attach the file as a PDF.|0
entfernen|Bitte entferne alte Anhänge aus dem Ordner.|to remove|Please remove old attachments from the folder.|0
hinzufügen|Füge den neuen Kontakt zur Liste hinzu.|to add|Add the new contact to the list.|0
bearbeiten|Wir bearbeiten den Text zusammen.|to edit|We edit the text together.|0
formatieren|Er formatiert das Dokument einheitlich.|to format|He formats the document consistently.|0
hervorheben|Markiere wichtige Wörter, um sie zu lernen.|to highlight|Highlight important words to learn them.|0
unterstreichen|Unterstreiche die Überschriften klar.|to underline|Underline the headings clearly.|0
markieren|Markiere den Termin im Kalender.|to mark|Mark the appointment in the calendar.|0
notieren|Ich notiere mir die Adresse im Handy.|to note|I note the address in my phone.|0
erinnern|Er erinnert mich täglich um neun Uhr.|to remind|He reminds me daily at nine o’clock.|0
einrichten|Wir richten die Benachrichtigungen neu ein.|to set up|We set up the notifications again.|0
deaktivieren|Ich deaktiviere Töne während des Meetings.|to disable|I disable sounds during the meeting.|0
aktivieren|Sie aktiviert den Nachtmodus am Telefon.|to enable|She enables night mode on the phone.|0
synchronisieren|Die App synchronisiert Daten im Hintergrund.|to sync|The app syncs data in the background.|0
prüfen|Bitte prüfe die Verbindung vor dem Anruf.|to check|Please check the connection before the call.|0
testen|Wir testen die Funktion mit einem Beispiel.|to test|We test the feature with an example.|0
bestanden|Die Prüfung ist bestanden, wir feiern kurz.|to have passed|The exam is passed; we celebrate briefly.|0
überraschen|Ich überrasche meine Freundin mit Blumen.|to surprise|I surprise my girlfriend with flowers.|0
enttäuschen|Ich will dich nicht enttäuschen, ich versuche es.|to disappoint|I don’t want to disappoint you; I’ll try.|0
beruhigen|Der Lehrer beruhigt die Klasse freundlich.|to calm|The teacher calmly reassures the class.|0
aufmuntern|Wir muntern ihn mit einem Tee auf.|to cheer up|We cheer him up with a tea.|0
ermutigen|Sie ermutigt mich, weiter zu üben.|to encourage|She encourages me to keep practicing.|0
loben|Der Chef lobt das klare Ergebnis.|to praise|The boss praises the clear result.|0
kritisieren|Er kritisiert nie hart, sondern sehr freundlich.|to criticize|He never criticizes harshly, but very kindly.|0
beeinflussen|Musik beeinflusst meine Stimmung positiv.|to influence|Music influences my mood positively.|0
überzeugen|Sie überzeugt mich mit guten Argumenten.|to convince|She convinces me with good arguments.|0
zweifeln|Ich zweifle manchmal, aber ich mache weiter.|to doubt|I sometimes doubt, but I keep going.|0
riskieren|Wir riskieren nichts Großes ohne Plan.|to risk|We risk nothing big without a plan.|0
sichern|Bitte sichere deine Arbeit regelmäßig.|to secure|Please secure your work regularly.|0
bewahren|Ich bewahre wichtige Dokumente in einer Mappe auf.|to keep/preserve|I keep important documents in a folder.|0
vermeiden|Wir vermeiden Stress durch gute Planung.|to avoid|We avoid stress through good planning.|0
zulassen|Die App lässt nur einfache Passwörter nicht zu.|to allow/permit|The app does not allow simple passwords.|0
einhalten|Bitte halte die Frist genau ein.|to keep (deadline)|Please meet the deadline exactly.|0
überschreiten|Wir überschreiten die Zeit heute nicht.|to exceed|We are not exceeding the time today.|0
einreichen|Ich reiche den Bericht morgen ein.|to submit|I will submit the report tomorrow.|0
abgeben|Sie gibt die Schlüssel an der Rezeption ab.|to hand in|She hands in the keys at the reception.|0
ausfüllen|Fülle das Formular mit Druckbuchstaben aus.|to fill out|Fill out the form in block letters.|0
nachreichen|Ich reiche die Quittung später nach.|to submit later|I will submit the receipt later.|0
zusammenfassen|Fasse den Text in drei Sätzen zusammen.|to summarize|Summarize the text in three sentences.|0
auswerten|Wir werten die Umfrage am Freitag aus.|to evaluate|We evaluate the survey on Friday.|0
verstehen|Langsame Beispiele verstehe ich schon gut.|to understand|I already understand slow examples well.|0
anwenden|Ich wende neue Wörter in kurzen Sätzen an.|to apply|I apply new words in short sentences.|0
verbessern|Tägliches Üben verbessert meine Aussprache.|to improve|Daily practice improves my pronunciation.|0
wiederholen|Ich wiederhole die schwierigen Sätze am Abend.|to repeat|I repeat the difficult sentences in the evening.|0
beobachten|Wir beobachten das Wetter jeden Morgen.|to observe|We observe the weather every morning.|0
beschauen|Er beschaut die Ware vor dem Kauf.|to inspect|He inspects the goods before buying.|0
hören|Ich höre Podcasts beim Spazieren.|to listen|I listen to podcasts while walking.|0
mitsprechen|Sprich leise mit, um zu üben.|to speak along|Speak along quietly to practice.|0
nachsprechen|Bitte sprich die Wörter langsam nach.|to repeat (aloud)|Please repeat the words slowly.|0
übersetzen|Ich übersetze kurze Sätze ins Deutsche.|to translate|I translate short sentences into German.|0
übertragen|Übertrage die Antwort in das Feld unten.|to transfer/copy|Transfer the answer into the field below.|0
